行业代码,行业名称,成分股数量,成分股
URFI881271,IT服务,129,"USZA000034,USZA000158,USZA000409,USZA000555,USZA000938,USZA002065,USZA002195,USZA002197,USZA002229,USZA002232,USZA002331,USZA002368,USZA002373,USZA002380,USZA002401,USZA002421,USZA002474,USZA002609,USZA002642,USZA002649,USZA002657,USZA002771,USZA002777,USZA002908,USZA003005,USZA300017,USZA300020,USZA300044,USZA300078,USZA300079,USZA300150,USZA300166,USZA300167,USZA300168,USZA300170,USZA300212,USZA300231,USZA300245,USZA300248,USZA300250,USZA300264,USZA300287,USZA300288,USZA300290,USZA300300,USZA300339,USZA300399,USZA300419,USZA300440,USZA300448,USZA300496,USZA300523,USZA300532,USZA300536,USZA300541,USZA300609,USZA300634,USZA300674,USZA300678,USZA300682,USZA300687,USZA300746,USZA300872,USZA301085,USZA301172,USZA301178,USZA301208,USZA301218,USZA301236,USZA301248,USZA301316,USZA301396,USZA301556,USZA301638,USHA600131,USHA600271,USHA600410,USHA600446,USHT600476,USHA600536,USHA600589,USHA600666,USHA600718,USHA600728,USHT600734,USHA600756,USHA600797,USHA600845,USHA600850,USHA600936,USHA603171,USHA603322,USHA603629,USHA603636,USHA603859,USHT603869,USHA603918,USHA605398,USHA688004,USHA688039,USHA688051,USHA688088,USHA688158,USHA688191,USHA688207,USHA688227,USHA688228,USHA688229,USHA688258,USHA688316,USHA688327,USHA688343,USHA688365,USHA688500,USHA688509,USHA688568,USHA688787,USTM920092,USTM920116,USTM920130,USTM920171,USTM920184,USTM920227,USTM920493,USTM920564,USTM920748,USTM920790,USTM920806,USTM920953"
URFI881273,白酒,19,"USZA000568,USZA000596,USZA000799,USZA000858,USZA000860,USZA000995,USZA002304,USZA002646,USHA600197,USHA600199,USHA600519,USHA600559,USHA600702,USHA600779,USHA600809,USHA603198,USHA603369,USHA603589,USHA603919"
URFI881131,白色家电,44,"USZA000016,USZA000333,USZA000404,USZA000521,USZA000651,USZA000921,USZA001268,USZA001387,USZA002011,USZA002050,USZA002290,USZA002402,USZA002418,USZA002668,USZA002676,USZA002860,USZA300160,USZA300217,USZA300279,USZA300342,USZA300403,USZA301008,USZA301135,USZA301280,USHA600336,USHA600619,USHA600690,USHA600854,USHA600983,USHA601956,USHA603075,USHA603112,USHA603150,USHA603311,USHA603519,USHA603578,USHA603657,USHA603677,USHA603726,USTM920108,USTM920124,USTM920699,USTM920718,USTM920768"
URFI881121,半导体,189,"USZA001309,USZA002049,USZA002077,USZA002119,USZA002151,USZA002156,USZA002185,USZA002213,USZA002371,USZA002409,USZA003026,USZA003043,USZA300046,USZA300053,USZA300077,USZA300223,USZA300327,USZA300373,USZA300456,USZA300458,USZA300604,USZA300613,USZA300623,USZA300661,USZA300666,USZA300671,USZA300672,USZA300706,USZA300782,USZA300831,USZA301297,USZA301308,USZA301348,USZA301369,USZA301536,USZA301583,USZA301611,USZA301629,USZA301666,USZA301678,USZA301717,USHA600171,USHA600198,USHA600206,USHA600360,USHA600460,USHA600584,USHA600641,USHT600745,USHA600877,USHA603005,USHA603061,USHA603068,USHA603160,USHA603290,USHA603316,USHA603375,USHA603501,USHA603690,USHA603893,USHA603986,USHA603991,USHA605111,USHA605358,USHA688002,USHA688008,USHA688012,USHA688018,USHA688037,USHA688041,USHA688045,USHA688047,USHA688048,USHA688049,USHA688052,USHA688061,USHA688072,USHA688082,USHA688099,USHA688107,USHA688110,USHA688120,USHA688123,USHA688126,USHA688130,USHA688135,USHA688138,USHA688141,USHA688147,USHA688153,USHA688167,USHA688172,USHA688173,USHA688200,USHA688209,USHA688213,USHA688216,USHA688220,USHA688230,USHA688233,USHA688234,USHA688249,USHA688252,USHA688256,USHA688259,USHA688261,USHA688262,USHT688270,USHA688279,USHA688286,USHA688325,USHA688328,USHA688332,USHA688347,USHA688352,USHA688361,USHA688362,USHA688368,USHA688372,USHA688380,USHA688381,USHA688385,USHA688391,USHA688396,USHA688401,USHA688403,USHA688409,USHA688416,USHA688432,USHA688449,USHA688458,USHA688469,USHA688478,USHA688484,USHA688486,USHA688498,USHA688508,USHA688512,USHA688515,USHA688521,USHA688525,USHA688530,USHA688535,USHA688536,USHA688582,USHA688584,USHA688589,USHA688591,USHA688593,USHA688595,USHA688601,USHA688605,USHA688608,USHA688620,USHA688652,USHA688653,USHA688661,USHA688689,USHA688691,USHA688693,USHA688699,USHA688702,USHA688709,USHA688711,USHA688720,USHA688721,USHA688727,USHA688728,USHA688729,USHA688766,USHA688783,USHA688785,USHA688790,USHA688795,USHA688797,USHA688798,USHA688801,USHA688802,USHA688807,USHA688809,USHA688820,USHA688825,USHA688981,USTM920012,USTM920138,USTM920139,USTM920179,USTM920186,USTM920526"
URFI881138,包装印刷,46,"USZA000659,USZA000812,USZA001279,USZA002014,USZA002117,USZA002191,USZA002228,USZA002303,USZA002374,USZA002565,USZA002599,USZA002701,USZA002735,USZA002752,USZA002787,USZA002799,USZA002831,USZA002836,USZA002846,USZA002969,USZA003003,USZA003018,USZA300260,USZA300501,USZA300883,USZA301062,USZA301198,USZA301223,USZA301296,USZA301355,USHA600076,USHA600210,USHA601515,USHA601968,USHA603022,USHA603058,USHT603429,USHA603499,USHA603607,USHA603687,USTM920075,USTM920121,USTM920163,USTM920204,USTM920274,USTM920392"
URFI881156,保险,5,"USHA601318,USHA601319,USHA601336,USHA601601,USHA601628"
URFI881174,厨卫电器,9,"USZA002035,USZA002508,USZA002543,USZA002677,USZA300894,USZA300911,USHA603366,USHA603551,USHT605336"
URFI881101,种植业与林业,29,"USZA000592,USZA000663,USZA000713,USZA000998,USZA002041,USZA002215,USZA002556,USZA002679,USZA002772,USZA300021,USZA300087,USZA300189,USZA300511,USZA300970,USHA600108,USHT600265,USHA600313,USHA600354,USHA600359,USHA600371,USHA600540,USHA600598,USHA600883,USHA601118,USHA601952,USHA601996,USTM920087,USTM920403,USTM920964"
URFI881281,电池,107,"USZA000009,USZA000049,USZA000695,USZA001283,USZA001301,USZA002058,USZA002074,USZA002125,USZA002245,USZA002340,USZA002580,USZA002709,USZA002733,USZA002759,USZA002805,USZA002812,USZA002850,USZA300014,USZA300035,USZA300037,USZA300068,USZA300073,USZA300173,USZA300207,USZA300340,USZA300390,USZA300409,USZA300410,USZA300438,USZA300450,USZA300457,USZA300530,USZA300568,USZA300619,USZA300648,USZA300750,USZA300769,USZA300890,USZA300919,USZA300953,USZA301121,USZA301150,USZA301152,USZA301210,USZA301217,USZA301222,USZA301238,USZA301292,USZA301325,USZA301327,USZA301349,USZA301358,USZA301487,USZA301511,USZA301513,USZA301587,USZA301599,USZA301662,USHA600110,USHA600152,USHA600241,USHA600478,USHA600847,USHA600884,USHA601311,USHA603026,USHA603031,USHA603032,USHA603659,USHA603906,USHA605378,USHA688005,USHA688006,USHA688063,USHA688116,USHA688148,USHA688155,USHT688184,USHA688275,USHA688339,USHA688345,USHA688353,USHA688388,USHA688392,USHA688499,USHA688567,USHA688573,USHA688638,USHA688707,USHA688733,USHA688772,USHA688778,USHA688779,USHA688819,USTM920117,USTM920119,USTM920185,USTM920193,USTM920237,USTM920239,USTM920252,USTM920289,USTM920522,USTM920523,USTM920627,USTM920779,USTM920809"
URFI881277,电机,26,"USZA000922,USZA002176,USZA002196,USZA002249,USZA002576,USZA002801,USZA002823,USZA002892,USZA003021,USZA300626,USZA300660,USZA300907,USZA301023,USZA301502,USHA600416,USHA600580,USHA603320,USHA603344,USHA603350,USHA603370,USHA603489,USHA603728,USHA603819,USHA603988,USTM920011,USTM920100"
